district,state,product,govt_url,url_status,data_source,page_quality,facts_count,fields_changed,key_changes,warnings,enriched_at
Nicobars,Andaman and Nicobar Islands,Coconut & Coconut based products,,FAILED,google,partial,7,10,production_scale|alert_stat|geo_anchor|famous_for_1_line|why_this_district|step_1_learn|step_2_source|suitable_for|faq_1|logistics_info,step_1_has_cost,2026-04-26 18:10
North and Middle Andaman,Andaman and Nicobar Islands,Fisheries/Marine products,,FAILED,google,partial,4,11,production_scale|alert_stat|geo_anchor|famous_for_1_line|why_this_district|step_1_learn|step_2_source|suitable_for|faq_1|logistics_info|opportunity_score,,2026-04-26 18:10
Alluri Sitarama Raju,Andhra Pradesh,Coffee (Araku),https://allurisitaramaraju.ap.gov.in/one-district-one-product/,FAILED,google,partial,4,12,production_scale|alert_stat|geo_anchor|famous_for_1_line|why_this_district|step_1_learn|step_2_source|suitable_for|success_story_name|faq_1|logistics_info|opportunity_score,step_1_has_cost,2026-04-26 18:13
Anakapalli,Andhra Pradesh,Etikoppaka Lacquerware/Wooden Toys,https://anakapalli.ap.gov.in,BASE,google,partial,6,11,production_scale|alert_stat|geo_anchor|famous_for_1_line|why_this_district|step_1_learn|step_2_source|suitable_for|faq_1|logistics_info|opportunity_score,step_1_has_cost,2026-04-26 18:14
Anantapuram (Anantapur),Andhra Pradesh,Cotton/Jean Pants,https://ananthapuramu.ap.gov.in/one-district-one-product/,MATCH,gov,good,10,11,production_scale|alert_stat|geo_anchor|famous_for_1_line|why_this_district|step_1_learn|step_2_source|suitable_for|faq_1|logistics_info|opportunity_score,step_1_has_cost,2026-04-26 18:15
Ananthpuram (Anantapur),Andhra Pradesh,Dharmavaram Silk Sarees,https://ananthapuramu.ap.gov.in/one-district-one-product/,MATCH,gov,partial,8,12,production_scale|alert_stat|geo_anchor|famous_for_1_line|why_this_district|step_1_learn|step_2_source|suitable_for|success_story_name|faq_1|logistics_info|opportunity_score,step_1_has_cost,2026-04-26 18:16
Annamayya (Rayachoty),Andhra Pradesh,Cotton / Jean Pants,https://annamayyarayachoty.ap.gov.in/one-district-one-product/,FAILED,google,partial,4,12,production_scale|alert_stat|geo_anchor|famous_for_1_line|why_this_district|step_1_learn|step_2_source|suitable_for|success_story_name|faq_1|logistics_info|opportunity_score,step_1_has_cost,2026-04-26 18:17
Bapatla,Andhra Pradesh,Granite Cutting and Polishing,https://bapatla.ap.gov.in,BASE,google,partial,8,11,production_scale|alert_stat|geo_anchor|famous_for_1_line|why_this_district|step_1_learn|step_2_source|suitable_for|faq_1|logistics_info|opportunity_score,step_1_has_cost,2026-04-26 18:18
Chittoor,Andhra Pradesh,Venkatagiri Sarees,https://chittoor.ap.gov.in/one-district-one-product/,MATCH,google,partial,7,12,production_scale|alert_stat|geo_anchor|famous_for_1_line|why_this_district|step_1_learn|step_2_source|suitable_for|success_story_name|faq_1|logistics_info|opportunity_score,step_1_has_cost,2026-04-26 18:19
Dr BR Ambedkar Konaseema,Andhra Pradesh,Natural banana fibres,https://drbrambedkarkonaseema.ap.gov.in/one-district-one-product/,FAILED,google,partial,3,11,production_scale|alert_stat|geo_anchor|famous_for_1_line|why_this_district|step_1_learn|step_2_source|suitable_for|faq_1|logistics_info|opportunity_score,step_1_has_cost,2026-04-26 18:20
East Godavari,Andhra Pradesh,"Fruit Based Food Products (Pickles, Mango Jelly, Fruit Pulp, Cashew nuts, Lemon extracts)",https://eastgodavari.ap.gov.in/one-district-one-product/,MATCH,gov,partial,8,12,production_scale|alert_stat|geo_anchor|famous_for_1_line|why_this_district|step_1_learn|step_2_source|suitable_for|success_story_name|faq_1|logistics_info|opportunity_score,step_1_has_cost,2026-04-26 18:22
Guntur,Andhra Pradesh,Chillies,https://guntur.ap.gov.in/one-district-one-product/,MATCH,google,partial,5,11,production_scale|alert_stat|geo_anchor|famous_for_1_line|why_this_district|step_1_learn|step_2_source|suitable_for|faq_1|logistics_info|opportunity_score,step_1_has_cost,2026-04-26 18:23
Kakinada,Andhra Pradesh,Uppada Jamdani Sarees,https://kakinada.ap.gov.in/one-district-one-product/,MATCH,gov,partial,6,11,production_scale|alert_stat|geo_anchor|famous_for_1_line|why_this_district|step_1_learn|step_2_source|suitable_for|faq_1|logistics_info|opportunity_score,step_1_has_cost,2026-04-26 18:24
Krishna,Andhra Pradesh,Machilipatnam Kalamkari,https://krishna.ap.gov.in/one-district-one-product/,MATCH,gov,partial,4,11,production_scale|alert_stat|geo_anchor|famous_for_1_line|why_this_district|step_1_learn|step_2_source|suitable_for|faq_1|logistics_info|opportunity_score,step_1_has_cost,2026-04-26 18:24
Kurnool,Andhra Pradesh,Stone carved products,https://kurnool.ap.gov.in/one-district-one-product/,MATCH,google,partial,4,12,production_scale|alert_stat|geo_anchor|famous_for_1_line|why_this_district|step_1_learn|step_2_source|suitable_for|success_story_name|faq_1|logistics_info|opportunity_score,step_1_has_cost,2026-04-26 18:26
Nandyal,Andhra Pradesh,Allagadda Stone Carving,https://nandyal.ap.gov.in/one-district-one-product/,MATCH,gov,partial,4,12,production_scale|alert_stat|geo_anchor|famous_for_1_line|why_this_district|step_1_learn|step_2_source|suitable_for|success_story_name|faq_1|logistics_info|opportunity_score,step_1_has_cost,2026-04-26 18:27
NTR (Vijaywada),Andhra Pradesh,Kondapalli Toys,https://ntrvijaywada.ap.gov.in/one-district-one-product/,FAILED,google,partial,7,11,production_scale|alert_stat|geo_anchor|famous_for_1_line|why_this_district|step_1_learn|step_2_source|suitable_for|faq_1|logistics_info|opportunity_score,step_1_has_cost|suitable_for_generic,2026-04-26 18:28
Palnadu (Narasaraopeta),Andhra Pradesh,Durgi Stone Carving,https://palnadunarasaraopeta.ap.gov.in/one-district-one-product/,FAILED,google,partial,7,12,production_scale|alert_stat|geo_anchor|famous_for_1_line|why_this_district|step_1_learn|step_2_source|suitable_for|success_story_name|faq_1|logistics_info|opportunity_score,step_1_has_cost,2026-04-26 18:29
Prakasam,Andhra Pradesh,Granite (Black Galaxy),https://prakasam.ap.gov.in/one-district-one-product/,MATCH,google,partial,7,11,production_scale|alert_stat|geo_anchor|famous_for_1_line|why_this_district|step_1_learn|step_2_source|suitable_for|faq_1|logistics_info|opportunity_score,step_1_has_cost,2026-04-26 18:31
SPSR Nellore,Andhra Pradesh,Udayagiri Wooden Cutlery,https://spsrnellore.ap.gov.in/one-district-one-product/,FAILED,google,partial,6,12,production_scale|alert_stat|geo_anchor|famous_for_1_line|why_this_district|step_1_learn|step_2_source|suitable_for|success_story_name|faq_1|logistics_info|opportunity_score,banned_words:leverage|step_1_has_cost,2026-04-26 18:32
Sri Sathya Sai (Puttaparthi),Andhra Pradesh,Silk Sarees,https://srisathyasaiputtaparthi.ap.gov.in/one-district-one-product/,FAILED,google,partial,8,12,production_scale|alert_stat|geo_anchor|famous_for_1_line|why_this_district|step_1_learn|step_2_source|suitable_for|success_story_name|faq_1|logistics_info|opportunity_score,step_1_has_cost,2026-04-26 18:33
Srikakulam,Andhra Pradesh,Ponduru Cotton Sarees,https://srikakulam.ap.gov.in/one-district-one-product/,MATCH,gov,partial,2,12,production_scale|alert_stat|geo_anchor|famous_for_1_line|why_this_district|step_1_learn|step_2_source|suitable_for|success_story_name|faq_1|logistics_info|opportunity_score,step_1_has_cost,2026-04-26 18:34
Tirupati,Andhra Pradesh,Srikalahasthi Kalamkari fabrics/Handicrafts,https://tirupati.ap.gov.in/one-district-one-product/,MATCH,gov,partial,5,12,production_scale|alert_stat|geo_anchor|famous_for_1_line|why_this_district|step_1_learn|step_2_source|suitable_for|success_story_name|faq_1|logistics_info|opportunity_score,step_1_has_cost,2026-04-26 18:35
Visakhapatnam,Andhra Pradesh,Seafood Cluster,https://visakhapatnam.ap.gov.in/one-district-one-product/,MATCH,google,partial,6,11,production_scale|alert_stat|geo_anchor|famous_for_1_line|why_this_district|step_1_learn|step_2_source|suitable_for|faq_1|logistics_info|opportunity_score,step_1_has_cost,2026-04-26 18:35
YSR Kadapa,Andhra Pradesh,Vonipenta Brass,https://kadapa.ap.gov.in/one-district-one-product/,MATCH,gov,partial,4,12,production_scale|alert_stat|geo_anchor|famous_for_1_line|why_this_district|step_1_learn|step_2_source|suitable_for|success_story_name|faq_1|logistics_info|opportunity_score,step_1_has_cost|suitable_for_generic,2026-04-26 18:39
Anjaw,Arunachal Pradesh,Large Cardamom,https://anjaw.nic.in,BASE,google,partial,6,12,production_scale|alert_stat|geo_anchor|famous_for_1_line|why_this_district|step_1_learn|step_2_source|suitable_for|success_story_name|faq_1|logistics_info|opportunity_score,step_1_has_cost,2026-04-26 18:40
Changlang,Arunachal Pradesh,Areca nut,https://changlang.nic.in,BASE,google,partial,3,11,production_scale|alert_stat|geo_anchor|famous_for_1_line|why_this_district|step_1_learn|step_2_source|suitable_for|faq_1|logistics_info|opportunity_score,step_1_has_cost,2026-04-26 18:40
East Siang,Arunachal Pradesh,Jaggery,https://eastsiang.nic.in,BASE,google,partial,5,11,production_scale|alert_stat|geo_anchor|famous_for_1_line|why_this_district|step_1_learn|step_2_source|suitable_for|faq_1|logistics_info|opportunity_score,step_1_has_cost,2026-04-26 18:45
Kamle,Arunachal Pradesh,Orange,https://kamle.nic.in,BASE,google,partial,6,11,production_scale|alert_stat|geo_anchor|famous_for_1_line|why_this_district|step_1_learn|step_2_source|suitable_for|faq_1|logistics_info|opportunity_score,step_1_has_cost,2026-04-26 18:46
Kra Daadi,Arunachal Pradesh,Large Cardamom,https://kradaadi.nic.in,BASE,google,partial,7,12,production_scale|alert_stat|geo_anchor|famous_for_1_line|why_this_district|step_1_learn|step_2_source|suitable_for|success_story_name|faq_1|logistics_info|opportunity_score,step_1_has_cost|suitable_for_generic,2026-04-26 18:47
Kurung Kumey,Arunachal Pradesh,Large Cardamom,https://kurungkumey.nic.in,BASE,google,partial,3,11,production_scale|alert_stat|geo_anchor|famous_for_1_line|why_this_district|step_1_learn|step_2_source|suitable_for|faq_1|logistics_info|opportunity_score,step_1_has_cost|suitable_for_generic,2026-04-26 18:48
Leparada,Arunachal Pradesh,King Chilli,,FAILED,google,partial,4,11,production_scale|alert_stat|geo_anchor|famous_for_1_line|why_this_district|step_1_learn|step_2_source|suitable_for|faq_1|logistics_info|opportunity_score,step_1_has_cost,2026-04-26 18:49
Lohit,Arunachal Pradesh,Mustard Seed,https://lohit.nic.in,BASE,google,partial,3,11,production_scale|alert_stat|geo_anchor|famous_for_1_line|why_this_district|step_1_learn|step_2_source|suitable_for|faq_1|logistics_info|opportunity_score,step_1_has_cost,2026-04-26 18:50
Lower Dibang Valley,Arunachal Pradesh,Ginger,,FAILED,google,partial,4,11,production_scale|alert_stat|geo_anchor|famous_for_1_line|why_this_district|step_1_learn|step_2_source|suitable_for|faq_1|logistics_info|opportunity_score,step_1_has_cost,2026-04-26 18:54
Namsai,Arunachal Pradesh,Turmeric,https://namsai.nic.in,BASE,google,partial,6,11,production_scale|alert_stat|geo_anchor|famous_for_1_line|why_this_district|step_1_learn|step_2_source|suitable_for|faq_1|logistics_info|opportunity_score,step_1_has_cost,2026-04-26 18:55
Papum Pare,Arunachal Pradesh,Turmeric,https://papumpare.nic.in,BASE,google,partial,3,11,production_scale|alert_stat|geo_anchor|famous_for_1_line|why_this_district|step_1_learn|step_2_source|suitable_for|faq_1|logistics_info|opportunity_score,step_1_has_cost,2026-04-26 18:57
